Date,Time,Session,GreedIndex,FearIndex,Btc Current Price,BtcDom Current Price
2024-08-10,09:48:38,Asia Session (9.30 am),0.00334206,-0.00358405,60327.81,2805.4
2024-08-10,13:53:20,UK Session (1.30 pm),0.00518117,-0.00646313,60759.32,2802.6
2024-08-10,17:44:56,UK Session (5.30 pm),0.0039198,-0.00365919,60833.66,2799.1
2024-08-10,21:45:34,US Session (9.30 pm),0.00494013,-0.00762358,60587.42,2808.7
2024-08-11,01:33:36,US Session (1.30 am),0.00334863,-0.00546511,61017,2818.7
2024-08-11,08:04:53,Asia Session (5.30 am),0.00395155,-0.00835704,61000.01,2802.1
2024-08-11,10:49:45,Asia Session (9.30 am),0.00321352,-0.00859685,60950,2785
2024-08-11,14:59:53,UK Session (1.30 pm),0.00348588,-0.01240175,61436,2762.8
2024-08-11,21:46:18,US Session (9.30 pm),0.00311519,-0.02343315,60064.01,2808.2
2024-08-12,01:34:45,US Session (1.30 am),0.00341418,-0.00609758,59315.66,2813.7
2024-08-12,08:52:11,Asia Session (5.30 am),0.00396811,-0.01108224,58602.59,2807.8
2024-08-12,11:52:46,Asia Session (9.30 am),0.00325681,-0.01780623,58443.37,2796.7
2024-08-12,17:02:13,UK Session (5.30 pm),0.00375893,-0.01260998,59494.06,2741.8
2024-08-12,19:51:13,UK Session (5.30 pm),0.00359917,-0.01097266,59352.01,2754.1
2024-08-12,23:55:25,US Session (9.30 pm),0.00579777,-0.01655084,59182.41,2747.9
2024-08-13,01:33:05,US Session (1.30 am),0.00369418,-0.00969755,59176.7,2748.7
2024-08-13,09:07:43,Asia Session (9.30 am),0.00482488,-0.00745084,59181.99,2750.9
2024-08-13,11:57:34,Asia Session (9.30 am),0.00312296,-0.01279737,59055.21,2757.1
2024-08-13,14:55:48,UK Session (1.30 pm),0.0049614,-0.00836502,58790.01,2750.2
2024-08-13,21:21:36,US Session (9.30 pm),0.00426389,-0.00428122,59482.52,2760.8
2024-08-14,00:22:49,US Session (9.30 pm),0.0040441,-0.00394837,60781,2789.7
2024-08-14,08:51:25,Asia Session (5.30 am),0.00408345,-0.00463873,60911.63,2789
2024-08-14,11:35:05,Asia Session (9.30 am),0.0036443,-0.00752702,60769.89,2778.4
2024-08-14,15:17:36,UK Session (1.30 pm),0.00503516,-0.00615936,60849.99,2774.8
2024-08-14,21:33:00,US Session (9.30 pm),0.00431173,-0.0060155,59399.19,2742.6
2024-08-15,01:31:47,US Session (1.30 am),0.00385293,-0.00266477,59019.99,2733
2024-08-15,08:47:18,Asia Session (5.30 am),0.00580587,-0.00437673,58456,2714.5
2024-08-15,09:35:11,Asia Session (9.30 am),0.00393357,-0.00399506,58435.07,2715.4
2024-08-15,13:38:41,UK Session (1.30 pm),0.00559424,-0.00896114,58026.5,2732.4
2024-08-15,17:52:32,UK Session (5.30 pm),0.00322225,-0.00434801,58772.63,2736.6
2024-08-15,21:51:02,US Session (9.30 pm),0.00346443,-0.02071243,59780.11,2747.7
2024-08-16,01:47:47,US Session (1.30 am),0.00296487,-0.01567865,56984.01,2748
2024-08-16,08:49:42,Asia Session (5.30 am),0.00298922,-0.0230559,58202.05,2758.5
2024-08-16,14:42:42,UK Session (1.30 pm),0.00485822,-0.01581819,58284.01,2734.5
2024-08-16,17:31:25,UK Session (5.30 pm),0.00303972,-0.02562625,58450.01,2748.3
2024-08-16,22:42:00,US Session (9.30 pm),0.00374489,-0.02602709,58635.35,2790
2024-08-17,02:51:23,US Session (1.30 am),0.00288997,-0.02417585,59066.66,2793.9
2024-08-17,08:54:31,Asia Session (5.30 am),0.00460076,-0.02681223,59110.79,2795.4
2024-08-17,09:40:45,Asia Session (9.30 am),0.00331412,-0.02540751,59117.14,2800.8
2024-08-17,13:57:14,UK Session (1.30 pm),0.00436065,-0.0264121,59200,2798.8
2024-08-17,19:42:03,UK Session (5.30 pm),0.00280881,-0.03147016,59414.64,2792.9
2024-08-18,08:09:08,Asia Session (5.30 am),0.00459203,-0.01784561,59555.99,2789.7
2024-08-19,09:07:09,Asia Session (9.30 am),0.00483209,-0.01237488,58671.99,2732.7
2024-08-19,09:33:21,Asia Session (9.30 am),0.00343683,-0.01179778,58725.99,2730.7
2024-08-20,08:31:42,Asia Session (5.30 am),0.00429391,-0.00413075,60576.01,2759.2
2024-08-20,09:52:09,Asia Session (9.30 am),0.00354688,-0.0117871,60807.99,2761
2024-08-21,08:48:50,Asia Session (5.30 am),0.00562378,-0.02204393,59361.14,2748.9
2024-08-22,01:43:52,US Session (1.30 am),0.00426276,-0.00288429,61512.65,2785.8
2024-08-22,09:07:50,Asia Session (9.30 am),0.00576215,-0.00356464,60321.99,2774.3
2024-08-22,21:53:12,US Session (9.30 pm),0.00589499,-0.00459709,60480.01,2763.8
2024-08-23,01:43:06,US Session (1.30 am),0.00486419,-0.00335122,60407.76,2754.1
2024-08-23,17:57:02,UK Session (5.30 pm),0.00397398,-0.00345071,60858.92,2746.3
2024-08-24,01:43:23,US Session (1.30 am),0.00540337,-0.00517221,63698,2783.1
2024-08-24,08:12:10,Asia Session (5.30 am),0.00812496,-0.00166104,63860,2786
2024-08-24,11:51:41,Asia Session (9.30 am),0.00570854,-0.00102128,63948.2,2789.6
2024-08-24,13:31:32,UK Session (1.30 pm),0.00615152,-0.00413716,64238,2803.7
2024-08-24,13:36:01,UK Session (1.30 pm),0.00615152,-0.00413716,64227.92,2803.7
2024-08-24,18:00:01,UK Session (5.30 pm),0.00514383,-0.00091038,64179.86,2786.7
2024-08-25,00:22:08,US Session (9.30 pm),0.00642183,-0.00192045,64222,2756.9
2024-08-25,02:28:36,US Session (1.30 am),0.00617871,-0.00089102,64150.01,2750.3
2024-08-25,08:57:09,Asia Session (5.30 am),0.00769281,-0.00034888,64095.89,2791
2024-08-25,10:04:40,Asia Session (9.30 am),0.005585,-0.00106469,64072,2792
2024-08-25,14:58:29,UK Session (1.30 pm),0.0055998,-0.00134257,63814.18,2799.7
2024-08-25,19:29:03,UK Session (5.30 pm),0.00498826,-0.00317861,64098.01,2792
2024-08-25,23:14:07,US Session (9.30 pm),0.00547701,-0.00185399,64145.14,2790
2024-08-26,08:12:43,Asia Session (5.30 am),0.00525145,-0.00198193,63942.99,2811.5
2024-08-26,11:01:49,Asia Session (9.30 am),0.00593863,-0.00071076,63935.6,2806.1
2024-08-26,15:37:13,UK Session (1.30 pm),0.00930875,-0.00036601,63906,2798.3
2024-08-26,21:06:28,US Session (9.30 pm),0.00460717,-0.00079292,63358,2812.8
2024-08-26,21:07:15,US Session (9.30 pm),0.00460717,-0.00079292,63368.99,2812.6
2024-08-26,22:55:10,US Session (9.30 pm),0.00628497,-0.00253281,63792,2823.3
2024-08-27,07:55:34,Asia Session (5.30 am),0.00540915,-0.00545333,63107.61,2826.9
2024-08-27,09:41:37,Asia Session (9.30 am),0.00383971,-0.00306583,62997.99,2821.3
2024-08-27,15:19:38,UK Session (1.30 pm),0.00489463,-0.00327369,62613.67,2826.9
2024-08-27,18:18:07,UK Session (5.30 pm),0.00416266,-0.00161211,62373.65,2850.9
2024-08-27,21:45:49,US Session (9.30 pm),0.00521574,-0.00113927,61883.68,2843
2024-08-28,07:42:05,Asia Session (5.30 am),0.00373689,-0.0064367,59354.6,2869.2
2024-08-28,09:53:56,Asia Session (9.30 am),0.00407208,-0.00246613,59625,2844.6
2024-08-28,14:13:04,UK Session (1.30 pm),0.0040654,-0.00489965,59176.99,2846
2024-08-28,17:44:39,UK Session (5.30 pm),0.00356076,-0.00368744,60055,2824.9
2024-08-28,21:30:15,US Session (9.30 pm),0.00478079,-0.00537885,58957,2824.2
2024-08-29,04:51:47,US Session (1.30 am),0.00315556,-0.0035102,59097,2809.4
